0101001010110001 0010011100110110 0001111010001010 0001011111001000 0001001010000101 0000111001101101 0000101100111100 0000100010111111 0000011011010000 0000010101001110 0000010000100010 0000001100111000 0000001010000001 0000001000100111 0000000110000101 0000000100101111 
0101100111001011 0010110010011111 0010100001111001 0010000100101001 0000011101100110 0000011000001010 0000011010101111 0000010001111100 0000010000001101 0000001110101001 0000001101010010 0000001100000000 0000001010111000 0000001000111000 0000001100000000 0000000101011000 
0101011000100000 0100000000000000 0001100111110101 0001001101001010 0000111110111110 0000100110001100 0000011100011000 0000011001101001 0000010111001010 0000010001001110 0000001110000011 0000001010011100 0000001000100001 0000000110010101 0000000101001010 0000000010010101 
0100010100110010 0010011000010000 0010001001100011 0001111100110000 0001110000101101 0001010011011011 0001000100010111 0000110010100110 0000000110001101 0000000011000101 0000000010110010 0000000010100001 0000000001110111 0000000000011010 0000000000011000 0000000000010001 
1010100010011110 0001000011110101 0000111001110010 0000111000101011 0000011101010010 0000011010010000 0000011001111100 0000010001110000 0000001111010000 0000001101111100 0000001100000111 0000001011110010 0000001001001011 0000000010011111 0000000010010000 0000000000111010 
0111100110011011 0100100100101111 0000100110011001 0000100101101010 0000011110010000 0000011101101011 0000011011000111 0000001111011101 0000001100011010 0000001101100101 0000001100010001 0000001001010011 0000001001000000 0000000110111101 0000000001110011 0000000000111001 
0011110110010111 0010100101011001 0010001100111011 0001110001001111 0001011100110010 0001000110110111 0000110111001011 0000101101111011 0000100100111010 0000010010010101 0000001100011010 0000000110111000 0000000110001101 0000000101101000 0000000100100111 0000000010010010 
1001010101000111 0010101011101111 0001011011001101 0000101101010101 0000010000010110 0000001111000100 0000001110111100 0000001101110001 0000001101101010 0000001101100000 0000001011000100 0000000110000001 0000000100111011 0000000011010010 0000000011001010 0000000010110011 
0001101011101010 0001000110111000 0001000100001010 0001000010110110 0001000010010100 0001000010000100 0001000000110010 0000111101100101 0000111100011001 0000111011111010 0000111011011101 0000111010100010 0000111010000100 0000111000010010 0000110011000011 0000101111111101 
1111011011000000 0000000101110110 0000000101010101 0000000100011011 0000000011111000 0000000010011011 0000000010011000 0000000010001011 0000000010001000 0000000010000010 0000000001011011 0000000001010111 0000000001000000 0000000000111000 0000000000110110 0000000000110011 
